Code,Country
28,Cook Islands
784,UAE
598,Papua New Guinea
850,U.S. Virgin Islands
384,Côte de Ivory
891,Serbia and Montenegro
180,DRC
710,South Africa
682,Saudi Arabia
826,Great Britain
904,Basque Country
854,Burkina Faso Faso
854,Burkina Faso
900,West Germany
901,East Germany
226,Equatorial Guinea
909,North Ireland
184,Cook Islands
344,Hong Kong
408,North Korea
410,South Korea
144,Sri Lanka
694,Sierra Leone
704,Viet Nam
203,Czech Republic
214,Dominican Republic
913,SrpSka Republic
188,Costa Rica
630,Puerto Rico
222,El Salvador
16,American Samoa Samoa
840,United States
554,New Zealand
8,Albania
12,Algeria
20,Burkina Faso
24,Sri Lanka
31,Costa Rica
32,Czech Republic
36,Dominican Republic
40,El Salvador
50,Equatorial Guinea
51,Hong Kong
52,North Korea
56,South Korea
60,New Zealand
64,Puerto Rico
68,Saudi Arabia
70,Sierra Leone
72,Viet Nam
76,South Africa
84,Great Britain
100,United States
104,West Germany
108,East Germany
112,Basque Country
116,North Ireland
120,SrpSka Republic
124,Canada
148,Chad
152,Chile
156,China
158,Taiwan
170,Colombia
191,Croatia
192,Cuba
196,Cyprus
208,Denmark
218,Ecuador
231,Ethiopia
232,Eritrea
233,Estonia
246,Finland
250,France
268,Georgia
270,Gambia
275,Palestine
276,Germany
288,Ghana
292,Gibraltar
300,Greece
320,Guatemala
324,Guinea
328,Guyana
332,Haiti
340,Honduras
348,Hungary
352,Iceland
356,India
360,Indonesia
364,Iran
368,Iraq
372,Ireland
376,Israel
380,Italy
388,Jamaica
392,Japan
398,Kazakhstan
400,Jordan
404,Kenya
414,Kuwait
417,Kyrgyzstan
418,Laos
422,Lebanon
426,Lesotho
428,Latvia
430,Liberia
434,Libya
438,Liechtenstein
440,Lithuania
442,Luxembourg
450,Madagascar
454,Malawi
458,Malaysia
466,Mali
470,Malta
474,Martinique
478,Mauritania
480,Mauritius
484,Mexico
492,Monaco
496,Mongolia
498,Moldova
504,Morocco
508,Mozambique
512,Oman
516,Namibia
524,Nepal
528,Netherlands
558,Nicaragua
562,Niger
566,Nigeria
578,Norway
586,Pakistan
591,Panama
600,Paraguay
604,Peru
608,Philippines
616,Poland
620,Portugal
624,Guinea-Bissau
626,Timor-Leste
634,Qatar
642,Romania
643,Russia
646,Rwanda
686,Senegal
690,Seychelles
702,Singapore
703,Slovakia
705,Slovenia
706,Somalia
716,Zimbabwe
724,Spain
736,Sudan
740,Suriname
752,Sweden
756,Switzerland
760,Syria
762,Tajikistan
764,Thailand
768,Togo
780,Trinidad
788,Tunisia
792,Turkey
795,Turkmenistan
800,Uganda
804,Ukraine
807,Macedonia
818,Egypt
834,Tanzania
858,Uruguay
860,Uzbekistan
862,Venezuela
887,Yemen
894,Zambia
902,Tambov
903,Moscow
906,Andalusia
907,Galicia
910,Valencia
911,Serbia
912,Monten
egro,
